,Sentence Codes,Context sentence,Target sentence
36,NS_1NP_IN5_O_Dem,小张去年生日晚会收到了一只手表。,小张明天要把那只手表送给他的姐姐。
37,SS_2NP_IN5_S_Def,小张去年生日晚会收到了一台游戏机和一只手表。,手表不太好看。
38,SS_2NP_IN5_S_Dem,小张去年生日晚会收到了一台游戏机和一只手表。,那只手表不太好看。
39,NS_2NP_IN5_O_Def,小张去年生日晚会收到了一台游戏机和一只手表。,小张明天要把手表送给他的姐姐。
40,NS_2NP_IN5_O_Dem,小张去年生日晚会收到了一台游戏机和一只手表。,小张明天要把那只手表送给他的姐姐。
41,SS_1NP_IN6_S_Def,小红上学期写了一首诗。,诗很长。
42,SS_1NP_IN6_S_Dem,小红上学期写了一首诗。,那首诗很长。
43,NS_1NP_IN6_O_Def,小红上学期写了一首诗。,小红的班主任今天在班会上读了诗。
44,NS_1NP_IN6_O_Dem,小红上学期写了一首诗。,小红的班主任今天在班会上读了那首诗。
45,SS_2NP_IN6_S_Def,小红上学期写了一篇散文和一首诗。,诗很长。
46,SS_2NP_IN6_S_Dem,小红上学期写了一篇散文和一首诗。,那首诗很长。
47,NS_2NP_IN6_O_Def,小红上学期写了一篇散文和一首诗。,小红的班主任今天在班会上读了诗。
48,NS_2NP_IN6_O_Dem,小红上学期写了一篇散文和一首诗。,小红的班主任今天在班会上读了那首诗。
49,SS_1NP_AN1_S_Def,一位记者参加了今天的会议。,记者看上去不太友善。
50,SS_1NP_AN1_S_Dem,一位记者参加了今天的会议。,那位记者看上去不太友善。
51,NS_1NP_AN1_O_Def,一位记者参加了今天的会议。,小华昨天遇到过记者。
52,NS_1NP_AN1_O_Dem,一位记者参加了今天的会议。,小华昨天遇到过那位记者。
53,SS_2NP_AN1_S_Def,一位诗人和一位记者参加了今天的会议。,记者看上去不太友善。
54,SS_2NP_AN1_S_Dem,一位诗人和一位记者参加了今天的会议。,那位记者看上去不太友善。
55,NS_2NP_AN1_O_Def,一位诗人和一位记者参加了今天的会议。,小华昨天遇到过记者。
56,NS_2NP_AN1_O_Dem,一位诗人和一位记者参加了今天的会议。,小华昨天遇到过那位记者。
57,SS_1NP_AN2_S_Def,一个男孩走进了教室。,男孩坐在前排。
58,SS_1NP_AN2_S_Dem,一个男孩走进了教室。,那个男孩坐在前排。
59,NS_1NP_AN2_O_Def,一个男孩走进了教室。,我昨天在书店见过男孩。
60,NS_1NP_AN2_O_Dem,一个男孩走进了教室。,我昨天在书店见过那个男孩。
61,SS_2NP_AN2_S_Def,一个男孩和一个女孩走进了教室。,男孩坐在前排。
62,SS_2NP_AN2_S_Dem,一个男孩和一个女孩走进了教室。,那个男孩坐在前排。
63,NS_2NP_AN2_O_Def,一个男孩和一个女孩走进了教室。,我昨天在书店见过男孩。
64,NS_2NP_AN2_O_Dem,一个男孩和一个女孩走进了教室。,我昨天在书店见过那个男孩。
65,SS_1NP_AN3_S_Def,小欢去年在宠物店买了一只狗。,狗当时躲在架子后面。
66,SS_1NP_AN3_S_Dem,小欢去年在宠物店买了一只狗。,那只狗当时躲在架子后面。
67,NS_1NP_AN3_O_Def,小欢去年在宠物店买了一只狗。,小欢今天带着狗去了小黄的聚会。
68,NS_1NP_AN3_O_Dem,小欢去年在宠物店买了一只狗。,小欢今天带着那只狗去了小黄的聚会。
69,SS_2NP_AN3_S_Def,小欢去年在宠物店买了一只猫和一只狗。,狗当时躲在架子后面。
70,SS_2NP_AN3_S_Dem,小欢去年在宠物店买了一只猫和一只狗。,那只狗当时躲在架子后面。
71,NS_2NP_AN3_O_Def,小欢去年在宠物店买了一只猫和一只狗。,小欢今天带着狗去了小黄的聚会。
72,NS_2NP_AN3_O_Dem,小欢去年在宠物店买了一只猫和一只狗。,小欢今天带着那只狗去了小黄的聚会。
73,SS_1NP_AN4_S_Def,一位讲师上周去参加了小赵的答辩。,讲师赞许了小赵的表现。
74,SS_1NP_AN4_S_Dem,一位讲师上周去参加了小赵的答辩。,那位讲师赞许了小赵的表现。
75,NS_1NP_AN4_O_Def,一位讲师上周去参加了小赵的答辩。,我昨天在毕业典礼上见过讲师。
76,NS_1NP_AN4_O_Dem,一位讲师上周去参加了小赵的答辩。,我昨天在毕业典礼上见过那位讲师。
77,SS_2NP_AN4_S_Def,一位讲师和一名学生上周去参加了小赵的答辩。,讲师赞许了小赵的表现。
78,SS_2NP_AN4_S_Dem,一位讲师和一名学生上周去参加了小赵的答辩。,那位讲师赞许了小赵的表现。
79,NS_2NP_AN4_O_Def,一位讲师和一名学生上周去参加了小赵的答辩。,我昨天在毕业典礼上见过讲师。
80,NS_2NP_AN4_O_Dem,一位讲师和一名学生上周去参加了小赵的答辩。,我昨天在毕业典礼上见过那位讲师。
81,SS_1NP_AN5_O_Dem,小孙昨天在音乐节上遇到了一位歌手。,他向那位歌手要了一张签名照。
82,SS_1NP_AN5_O_Def,小孙昨天在音乐节上遇到了一位歌手。,他向歌手要了一张签名照。
83,NS_1NP_AN5_S_Def,小孙昨天在音乐节上遇到了一位歌手。,歌手下周会在小崔家里举办音乐会。
84,NS_1NP_AN5_S_Dem,小孙昨天在音乐节上遇到了一位歌手。,那位歌手下周会在小崔家里举办音乐会。
85,SS_2NP_AN5_O_Dem,小孙昨天在音乐节上遇到了一位歌手和一位演员。,他向那位歌手要了一张签名照。
86,SS_2NP_AN5_O_Def,小孙昨天在音乐节上遇到了一位歌手和一位演员。,他向歌手要了一张签名照。
87,NS_2NP_AN5_S_Def,小孙昨天在音乐节上遇到了一位歌手和一位演员。,歌手下周会在小崔家里举办音乐会。
88,NS_2NP_AN5_S_Dem,小孙昨天在音乐节上遇到了一位歌手和一位演员。,那位歌手下周会在小崔家里举办音乐会。
89,SS_1NP_AN6_S_Def,小王上周认识了一位医生。,医生当时很健谈。
90,SS_1NP_AN6_S_Dem,小王上周认识了一位医生。,那位医生当时很健谈。
91,NS_1NP_AN6_O_Def,小王上周认识了一位医生。,小方下周要见医生。
92,NS_1NP_AN6_O_Dem,小王上周认识了一位医生。,小方下周要见那位医生。
93,SS_2NP_AN6_S_Def,小王上周认识了一位医生和一位律师。,当时医生很健谈。
94,SS_2NP_AN6_S_Dem,小王上周认识了一位医生和一位律师。,那位医生当时很健谈。
95,NS_2NP_AN6_O_Def,小王上周认识了一位医生和一位律师。,小方下周要见医生。
96,NS_2NP_AN6_O_Dem,小王上周认识了一位医生和一位律师。,小方下周要见那位医生。
