ID,Situation,NP,Scenario,Syntactic_Position,Definiteness,Rating
58,New_Situation,One,AN4,Object,That,82
59,New_Situation,One,IN3,Object,That,77
59,New_Situation,One,AN1,Subject,That,8
59,New_Situation,One,AN5,Subject,That,2
60,New_Situation,One,IN4,Subject,That,87
60,New_Situation,One,AN2,Object,That,70
60,New_Situation,One,AN6,Object,That,82
61,New_Situation,One,IN3,Object,That,71
61,New_Situation,One,AN1,Subject,That,68
61,New_Situation,One,AN5,Subject,That,59
62,New_Situation,One,IN1,Object,That,91
62,New_Situation,One,IN5,Object,That,92
62,New_Situation,One,AN3,Object,That,88
63,New_Situation,One,IN1,Object,That,91
63,New_Situation,One,IN5,Object,That,93
63,New_Situation,One,AN3,Object,That,87
1,New_Situation,One,IN1,Object,The,71
1,New_Situation,One,IN5,Object,The,46
1,New_Situation,One,AN3,Object,The,80
2,New_Situation,One,IN4,Subject,The,81
2,New_Situation,One,AN2,Object,The,62
2,New_Situation,One,AN6,Object,The,86
3,New_Situation,One,IN3,Object,The,97
3,New_Situation,One,AN1,Subject,The,96
3,New_Situation,One,AN5,Subject,The,96
4,New_Situation,One,IN3,Object,The,84
4,New_Situation,One,AN1,Subject,The,70
4,New_Situation,One,AN5,Subject,The,81
5,New_Situation,One,IN1,Object,The,56
5,New_Situation,One,IN5,Object,The,69
5,New_Situation,One,AN3,Object,The,77
6,New_Situation,One,IN2,Object,The,100
6,New_Situation,One,IN6,Object,The,100
6,New_Situation,One,AN4,Object,The,78
7,New_Situation,One,IN4,Subject,The,75
7,New_Situation,One,AN2,Object,The,80
7,New_Situation,One,AN6,Object,The,81
8,New_Situation,One,IN4,Subject,The,64
8,New_Situation,One,AN2,Object,The,62
8,New_Situation,One,AN6,Object,The,81
9,New_Situation,One,IN2,Object,The,100
9,New_Situation,One,IN6,Object,The,100
9,New_Situation,One,AN4,Object,The,100
10,New_Situation,One,IN1,Object,The,60
10,New_Situation,One,IN5,Object,The,100
10,New_Situation,One,AN3,Object,The,100
11,New_Situation,One,IN4,Subject,The,66
11,New_Situation,One,AN2,Object,The,73
11,New_Situation,One,AN6,Object,The,64
12,New_Situation,One,IN2,Object,The,100
12,New_Situation,One,IN6,Object,The,97
12,New_Situation,One,AN4,Object,The,100
13,New_Situation,One,IN3,Object,The,68
13,New_Situation,One,AN1,Subject,The,67
13,New_Situation,One,AN5,Subject,The,87
14,New_Situation,One,IN1,Object,The,66
14,New_Situation,One,IN5,Object,The,37
14,New_Situation,One,AN3,Object,The,95
16,New_Situation,One,IN2,Object,The,80
16,New_Situation,One,IN6,Object,The,65
16,New_Situation,One,AN4,Object,The,76
17,New_Situation,One,IN4,Subject,The,94
17,New_Situation,One,AN2,Object,The,64
17,New_Situation,One,AN6,Object,The,72
18,New_Situation,One,IN1,Object,The,82
18,New_Situation,One,IN5,Object,The,68
18,New_Situation,One,AN3,Object,The,89
19,New_Situation,One,IN2,Object,The,86
19,New_Situation,One,IN6,Object,The,79
19,New_Situation,One,AN4,Object,The,82
20,New_Situation,One,IN1,Object,The,90
20,New_Situation,One,IN5,Object,The,78
20,New_Situation,One,AN3,Object,The,100
21,New_Situation,One,IN4,Subject,The,80
21,New_Situation,One,AN2,Object,The,84
21,New_Situation,One,AN6,Object,The,70
22,New_Situation,One,IN1,Object,The,82
22,New_Situation,One,IN5,Object,The,99
22,New_Situation,One,AN3,Object,The,82
23,New_Situation,One,IN3,Object,The,73
23,New_Situation,One,AN1,Subject,The,69
23,New_Situation,One,AN5,Subject,The,48
24,New_Situation,One,IN4,Subject,The,100
24,New_Situation,One,AN2,Object,The,70
24,New_Situation,One,AN6,Object,The,80
25,New_Situation,One,IN3,Object,The,93
25,New_Situation,One,AN1,Subject,The,79
25,New_Situation,One,AN5,Subject,The,97
26,New_Situation,One,IN2,Object,The,23
26,New_Situation,One,IN6,Object,The,77
26,New_Situation,One,AN4,Object,The,83
27,New_Situation,One,IN3,Object,The,47
27,New_Situation,One,AN1,Subject,The,65
27,New_Situation,One,AN5,Subject,The,70
28,New_Situation,One,IN1,Object,The,73
28,New_Situation,One,IN5,Object,The,84
28,New_Situation,One,AN3,Object,The,92
29,New_Situation,One,IN4,Subject,The,90
29,New_Situation,One,AN2,Object,The,100
29,New_Situation,One,AN6,Object,The,60
30,New_Situation,One,IN2,Object,The,100
30,New_Situation,One,IN6,Object,The,90
30,New_Situation,One,AN4,Object,The,100
31,New_Situation,One,IN1,Object,The,83
31,New_Situation,One,IN5,Object,The,100
31,New_Situation,One,AN3,Object,The,86
32,New_Situation,One,IN2,Object,The,78
32,New_Situation,One,IN6,Object,The,84
32,New_Situation,One,AN4,Object,The,79
33,New_Situation,One,IN3,Object,The,80
33,New_Situation,One,AN1,Subject,The,78
33,New_Situation,One,AN5,Subject,The,65
34,New_Situation,One,IN4,Subject,The,74
34,New_Situation,One,AN2,Object,The,80
34,New_Situation,One,AN6,Object,The,79
35,New_Situation,One,IN3,Object,The,100
35,New_Situation,One,AN1,Subject,The,100
35,New_Situation,One,AN5,Subject,The,100
36,New_Situation,One,IN2,Object,The,87
36,New_Situation,One,IN6,Object,The,91
36,New_Situation,One,AN4,Object,The,94
37,New_Situation,One,IN1,Object,The,64
37,New_Situation,One,IN5,Object,The,84
37,New_Situation,One,AN3,Object,The,100
38,New_Situation,One,IN1,Object,The,82
38,New_Situation,One,IN5,Object,The,94
38,New_Situation,One,AN3,Object,The,82
39,New_Situation,One,IN4,Subject,The,100
39,New_Situation,One,AN2,Object,The,100
39,New_Situation,One,AN6,Object,The,88
40,New_Situation,One,IN2,Object,The,68
40,New_Situation,One,IN6,Object,The,75
40,New_Situation,One,AN4,Object,The,65
41,New_Situation,One,IN3,Object,The,81
41,New_Situation,One,AN1,Subject,The,65
41,New_Situation,One,AN5,Subject,The,72
42,New_Situation,One,IN1,Object,The,64
42,New_Situation,One,IN5,Object,The,100
42,New_Situation,One,AN3,Object,The,73
43,New_Situation,One,IN3,Object,The,96
43,New_Situation,One,AN1,Subject,The,91
43,New_Situation,One,AN5,Subject,The,92
44,New_Situation,One,IN2,Object,The,100
44,New_Situation,One,IN6,Object,The,100
44,New_Situation,One,AN4,Object,The,91
45,New_Situation,One,IN4,Subject,The,72
45,New_Situation,One,AN2,Object,The,71
45,New_Situation,One,AN6,Object,The,70
46,New_Situation,One,IN1,Object,The,63
46,New_Situation,One,IN5,Object,The,75
46,New_Situation,One,AN3,Object,The,63
47,New_Situation,One,IN2,Object,The,87
47,New_Situation,One,IN6,Object,The,76
47,New_Situation,One,AN4,Object,The,74
48,New_Situation,One,IN3,Object,The,73
48,New_Situation,One,AN1,Subject,The,100
48,New_Situation,One,AN5,Subject,The,69
49,New_Situation,One,IN4,Subject,The,96
49,New_Situation,One,AN2,Object,The,90
49,New_Situation,One,AN6,Object,The,88
50,New_Situation,One,IN3,Object,The,85
50,New_Situation,One,AN1,Subject,The,78
50,New_Situation,One,AN5,Subject,The,75
51,New_Situation,One,IN2,Object,The,93
51,New_Situation,One,IN6,Object,The,84
51,New_Situation,One,AN4,Object,The,90
52,New_Situation,One,IN1,Object,The,62
52,New_Situation,One,IN5,Object,The,94
52,New_Situation,One,AN3,Object,The,68
53,New_Situation,One,IN4,Subject,The,86
53,New_Situation,One,AN2,Object,The,80
53,New_Situation,One,AN6,Object,The,83
54,New_Situation,One,IN3,Object,The,80
54,New_Situation,One,AN1,Subject,The,100
54,New_Situation,One,AN5,Subject,The,79
55,New_Situation,One,IN2,Object,The,94
55,New_Situation,One,IN6,Object,The,88
55,New_Situation,One,AN4,Object,The,90
56,New_Situation,One,IN4,Subject,The,83
56,New_Situation,One,AN2,Object,The,78
56,New_Situation,One,AN6,Object,The,70
57,New_Situation,One,IN1,Object,The,70
57,New_Situation,One,IN5,Object,The,100
57,New_Situation,One,AN3,Object,The,100
58,New_Situation,One,IN2,Object,The,100
58,New_Situation,One,IN6,Object,The,100
58,New_Situation,One,AN4,Object,The,60
59,New_Situation,One,IN3,Object,The,100
59,New_Situation,One,AN1,Subject,The,100
59,New_Situation,One,AN5,Subject,The,100
60,New_Situation,One,IN4,Subject,The,83
60,New_Situation,One,AN2,Object,The,40
60,New_Situation,One,AN6,Object,The,68
61,New_Situation,One,IN3,Object,The,70
61,New_Situation,One,AN1,Subject,The,79
61,New_Situation,One,AN5,Subject,The,72
62,New_Situation,One,IN1,Object,The,75
62,New_Situation,One,IN5,Object,The,66
62,New_Situation,One,AN3,Object,The,76
63,New_Situation,One,IN1,Object,The,89
63,New_Situation,One,IN5,Object,The,92
63,New_Situation,One,AN3,Object,The,91
1,New_Situation,Two,IN2,Object,That,37
1,New_Situation,Two,IN6,Object,That,70
1,New_Situation,Two,AN4,Object,That,37
2,New_Situation,Two,IN1,Object,That,73
2,New_Situation,Two,IN5,Object,That,60
2,New_Situation,Two,AN3,Object,That,59
3,New_Situation,Two,IN4,Subject,That,31
3,New_Situation,Two,AN2,Object,That,18
3,New_Situation,Two,AN6,Object,That,48
4,New_Situation,Two,IN4,Subject,That,83
4,New_Situation,Two,AN2,Object,That,76
4,New_Situation,Two,AN6,Object,That,15
5,New_Situation,Two,IN2,Object,That,75
5,New_Situation,Two,IN6,Object,That,61
5,New_Situation,Two,AN4,Object,That,73
6,New_Situation,Two,IN3,Object,That,14
6,New_Situation,Two,AN1,Subject,That,72
6,New_Situation,Two,AN5,Subject,That,67
7,New_Situation,Two,IN1,Object,That,71
7,New_Situation,Two,IN5,Object,That,89
7,New_Situation,Two,AN3,Object,That,69
8,New_Situation,Two,IN1,Object,That,72
8,New_Situation,Two,IN5,Object,That,45
8,New_Situation,Two,AN3,Object,That,68
9,New_Situation,Two,IN3,Object,That,38
9,New_Situation,Two,AN1,Subject,That,35
9,New_Situation,Two,AN5,Subject,That,63
10,New_Situation,Two,IN2,Object,That,64
10,New_Situation,Two,IN6,Object,That,91
10,New_Situation,Two,AN4,Object,That,63
11,New_Situation,Two,IN1,Object,That,82
11,New_Situation,Two,IN5,Object,That,0
11,New_Situation,Two,AN3,Object,That,79
12,New_Situation,Two,IN3,Object,That,92
12,New_Situation,Two,AN1,Subject,That,81
12,New_Situation,Two,AN5,Subject,That,67
13,New_Situation,Two,IN4,Subject,That,30
13,New_Situation,Two,AN2,Object,That,19
13,New_Situation,Two,AN6,Object,That,28
14,New_Situation,Two,IN2,Object,That,8
14,New_Situation,Two,IN6,Object,That,83
14,New_Situation,Two,AN4,Object,That,31
16,New_Situation,Two,IN3,Object,That,39
16,New_Situation,Two,AN1,Subject,That,81
16,New_Situation,Two,AN5,Subject,That,72
17,New_Situation,Two,IN1,Object,That,78
17,New_Situation,Two,IN5,Object,That,87
17,New_Situation,Two,AN3,Object,That,77
18,New_Situation,Two,IN2,Object,That,26
18,New_Situation,Two,IN6,Object,That,11
18,New_Situation,Two,AN4,Object,That,10
19,New_Situation,Two,IN3,Object,That,92
19,New_Situation,Two,AN1,Subject,That,76
19,New_Situation,Two,AN5,Subject,That,84
20,New_Situation,Two,IN2,Object,That,62
20,New_Situation,Two,IN6,Object,That,89
20,New_Situation,Two,AN4,Object,That,76
21,New_Situation,Two,IN1,Object,That,88
21,New_Situation,Two,IN5,Object,That,50
21,New_Situation,Two,AN3,Object,That,79
22,New_Situation,Two,IN2,Object,That,8
22,New_Situation,Two,IN6,Object,That,25
22,New_Situation,Two,AN4,Object,That,6
23,New_Situation,Two,IN4,Subject,That,44
23,New_Situation,Two,AN2,Object,That,46
23,New_Situation,Two,AN6,Object,That,77
24,New_Situation,Two,IN1,Object,That,78
24,New_Situation,Two,IN5,Object,That,55
24,New_Situation,Two,AN3,Object,That,80
25,New_Situation,Two,IN4,Subject,That,81
25,New_Situation,Two,AN2,Object,That,78
25,New_Situation,Two,AN6,Object,That,87
26,New_Situation,Two,IN3,Object,That,74
26,New_Situation,Two,AN1,Subject,That,76
26,New_Situation,Two,AN5,Subject,That,85
27,New_Situation,Two,IN4,Subject,That,62
27,New_Situation,Two,AN2,Object,That,78
27,New_Situation,Two,AN6,Object,That,75
28,New_Situation,Two,IN2,Object,That,82
28,New_Situation,Two,IN6,Object,That,34
28,New_Situation,Two,AN4,Object,That,84
29,New_Situation,Two,IN1,Object,That,65
29,New_Situation,Two,IN5,Object,That,70
29,New_Situation,Two,AN3,Object,That,25
30,New_Situation,Two,IN3,Object,That,90
30,New_Situation,Two,AN1,Subject,That,50
30,New_Situation,Two,AN5,Subject,That,63
31,New_Situation,Two,IN2,Object,That,91
31,New_Situation,Two,IN6,Object,That,83
31,New_Situation,Two,AN4,Object,That,79
32,New_Situation,Two,IN3,Object,That,79
32,New_Situation,Two,AN1,Subject,That,84
32,New_Situation,Two,AN5,Subject,That,91
33,New_Situation,Two,IN4,Subject,That,85
33,New_Situation,Two,AN2,Object,That,93
33,New_Situation,Two,AN6,Object,That,70
34,New_Situation,Two,IN1,Object,That,94
34,New_Situation,Two,IN5,Object,That,97
34,New_Situation,Two,AN3,Object,That,82
35,New_Situation,Two,IN4,Subject,That,63
35,New_Situation,Two,AN2,Object,That,79
35,New_Situation,Two,AN6,Object,That,82
36,New_Situation,Two,IN3,Object,That,81
36,New_Situation,Two,AN1,Subject,That,83
36,New_Situation,Two,AN5,Subject,That,91
37,New_Situation,Two,IN2,Object,That,72
37,New_Situation,Two,IN6,Object,That,88
37,New_Situation,Two,AN4,Object,That,86
38,New_Situation,Two,IN2,Object,That,86
38,New_Situation,Two,IN6,Object,That,89
38,New_Situation,Two,AN4,Object,That,71
39,New_Situation,Two,IN1,Object,That,0
39,New_Situation,Two,IN5,Object,That,0
39,New_Situation,Two,AN3,Object,That,0
40,New_Situation,Two,IN3,Object,That,88
40,New_Situation,Two,AN1,Subject,That,74
40,New_Situation,Two,AN5,Subject,That,74
41,New_Situation,Two,IN4,Subject,That,81
41,New_Situation,Two,AN2,Object,That,81
41,New_Situation,Two,AN6,Object,That,75
42,New_Situation,Two,IN2,Object,That,44
42,New_Situation,Two,IN6,Object,That,45
42,New_Situation,Two,AN4,Object,That,98
43,New_Situation,Two,IN4,Subject,That,58
43,New_Situation,Two,AN2,Object,That,88
43,New_Situation,Two,AN6,Object,That,89
44,New_Situation,Two,IN3,Object,That,85
44,New_Situation,Two,AN1,Subject,That,92
44,New_Situation,Two,AN5,Subject,That,84
45,New_Situation,Two,IN1,Object,That,78
45,New_Situation,Two,IN5,Object,That,69
45,New_Situation,Two,AN3,Object,That,59
46,New_Situation,Two,IN2,Object,That,80
46,New_Situation,Two,IN6,Object,That,68
46,New_Situation,Two,AN4,Object,That,41
47,New_Situation,Two,IN3,Object,That,72
47,New_Situation,Two,AN1,Subject,That,72
47,New_Situation,Two,AN5,Subject,That,46
48,New_Situation,Two,IN4,Subject,That,87
48,New_Situation,Two,AN2,Object,That,94
48,New_Situation,Two,AN6,Object,That,17
49,New_Situation,Two,IN1,Object,That,89
49,New_Situation,Two,IN5,Object,That,21
49,New_Situation,Two,AN3,Object,That,20
50,New_Situation,Two,IN4,Subject,That,48
50,New_Situation,Two,AN2,Object,That,70
50,New_Situation,Two,AN6,Object,That,68
51,New_Situation,Two,IN3,Object,That,14
51,New_Situation,Two,AN1,Subject,That,32
51,New_Situation,Two,AN5,Subject,That,87
52,New_Situation,Two,IN2,Object,That,70
52,New_Situation,Two,IN6,Object,That,71
52,New_Situation,Two,AN4,Object,That,70
53,New_Situation,Two,IN1,Object,That,62
53,New_Situation,Two,IN5,Object,That,79
53,New_Situation,Two,AN3,Object,That,89
54,New_Situation,Two,IN4,Subject,That,0
54,New_Situation,Two,AN2,Object,That,0
54,New_Situation,Two,AN6,Object,That,83
55,New_Situation,Two,IN3,Object,That,64
55,New_Situation,Two,AN1,Subject,That,95
55,New_Situation,Two,AN5,Subject,That,98
56,New_Situation,Two,IN1,Object,That,78
56,New_Situation,Two,IN5,Object,That,96
56,New_Situation,Two,AN3,Object,That,93
57,New_Situation,Two,IN2,Object,That,0
57,New_Situation,Two,IN6,Object,That,65
57,New_Situation,Two,AN4,Object,That,81
58,New_Situation,Two,IN3,Object,That,75
58,New_Situation,Two,AN1,Subject,That,85
58,New_Situation,Two,AN5,Subject,That,87
59,New_Situation,Two,IN4,Subject,That,5
59,New_Situation,Two,AN2,Object,That,65
59,New_Situation,Two,AN6,Object,That,3
60,New_Situation,Two,IN1,Object,That,83
60,New_Situation,Two,IN5,Object,That,87
60,New_Situation,Two,AN3,Object,That,75
61,New_Situation,Two,IN4,Subject,That,76
61,New_Situation,Two,AN2,Object,That,76
61,New_Situation,Two,AN6,Object,That,59
62,New_Situation,Two,IN2,Object,That,17
62,New_Situation,Two,IN6,Object,That,86
62,New_Situation,Two,AN4,Object,That,81
63,New_Situation,Two,IN2,Object,That,86
63,New_Situation,Two,IN6,Object,That,61
63,New_Situation,Two,AN4,Object,That,93
1,New_Situation,Two,IN2,Object,The,100
1,New_Situation,Two,IN6,Object,The,100
1,New_Situation,Two,AN4,Object,The,100
2,New_Situation,Two,IN1,Object,The,54
2,New_Situation,Two,IN5,Object,The,69
2,New_Situation,Two,AN3,Object,The,74
3,New_Situation,Two,IN4,Subject,The,97
3,New_Situation,Two,AN2,Object,The,96
3,New_Situation,Two,AN6,Object,The,92
4,New_Situation,Two,IN4,Subject,The,75
4,New_Situation,Two,AN2,Object,The,64
4,New_Situation,Two,AN6,Object,The,85
5,New_Situation,Two,IN2,Object,The,21
5,New_Situation,Two,IN6,Object,The,22
5,New_Situation,Two,AN4,Object,The,13
6,New_Situation,Two,IN3,Object,The,100
6,New_Situation,Two,AN1,Subject,The,27
6,New_Situation,Two,AN5,Subject,The,100
7,New_Situation,Two,IN1,Object,The,93
7,New_Situation,Two,IN5,Object,The,76
7,New_Situation,Two,AN3,Object,The,78
8,New_Situation,Two,IN1,Object,The,18
8,New_Situation,Two,IN5,Object,The,66
8,New_Situation,Two,AN3,Object,The,42
9,New_Situation,Two,IN3,Object,The,100
9,New_Situation,Two,AN1,Subject,The,100
9,New_Situation,Two,AN5,Subject,The,100
10,New_Situation,Two,IN2,Object,The,100
10,New_Situation,Two,IN6,Object,The,78
10,New_Situation,Two,AN4,Object,The,100
11,New_Situation,Two,IN1,Object,The,37
11,New_Situation,Two,IN5,Object,The,100
11,New_Situation,Two,AN3,Object,The,24
12,New_Situation,Two,IN3,Object,The,100
12,New_Situation,Two,AN1,Subject,The,100
12,New_Situation,Two,AN5,Subject,The,100
13,New_Situation,Two,IN4,Subject,The,71
13,New_Situation,Two,AN2,Object,The,78
13,New_Situation,Two,AN6,Object,The,68
14,New_Situation,Two,IN2,Object,The,73
14,New_Situation,Two,IN6,Object,The,36
14,New_Situation,Two,AN4,Object,The,91
16,New_Situation,Two,IN3,Object,The,100
16,New_Situation,Two,AN1,Subject,The,86
16,New_Situation,Two,AN5,Subject,The,86
17,New_Situation,Two,IN1,Object,The,78
17,New_Situation,Two,IN5,Object,The,86
17,New_Situation,Two,AN3,Object,The,83
18,New_Situation,Two,IN2,Object,The,87
18,New_Situation,Two,IN6,Object,The,93
18,New_Situation,Two,AN4,Object,The,87
19,New_Situation,Two,IN3,Object,The,91
19,New_Situation,Two,AN1,Subject,The,83
19,New_Situation,Two,AN5,Subject,The,81
20,New_Situation,Two,IN2,Object,The,100
20,New_Situation,Two,IN6,Object,The,100
20,New_Situation,Two,AN4,Object,The,62
21,New_Situation,Two,IN1,Object,The,90
21,New_Situation,Two,IN5,Object,The,100
21,New_Situation,Two,AN3,Object,The,85
22,New_Situation,Two,IN2,Object,The,89
22,New_Situation,Two,IN6,Object,The,85
22,New_Situation,Two,AN4,Object,The,83
23,New_Situation,Two,IN4,Subject,The,81
23,New_Situation,Two,AN2,Object,The,80
23,New_Situation,Two,AN6,Object,The,68
24,New_Situation,Two,IN1,Object,The,80
24,New_Situation,Two,IN5,Object,The,75
24,New_Situation,Two,AN3,Object,The,80
25,New_Situation,Two,IN4,Subject,The,88
25,New_Situation,Two,AN2,Object,The,92
25,New_Situation,Two,AN6,Object,The,87
26,New_Situation,Two,IN3,Object,The,20
26,New_Situation,Two,AN1,Subject,The,13
26,New_Situation,Two,AN5,Subject,The,14
27,New_Situation,Two,IN4,Subject,The,76
27,New_Situation,Two,AN2,Object,The,74
27,New_Situation,Two,AN6,Object,The,59
28,New_Situation,Two,IN2,Object,The,72
28,New_Situation,Two,IN6,Object,The,75
28,New_Situation,Two,AN4,Object,The,63
29,New_Situation,Two,IN1,Object,The,100
29,New_Situation,Two,IN5,Object,The,100
29,New_Situation,Two,AN3,Object,The,100
30,New_Situation,Two,IN3,Object,The,100
