,Sentence Codes,Context sentence,Target sentence
51,NS_1NP_AN1_O_Def,Bugün partiye Kerim'le birlikte bir gazeteci geldi.,Gazeteciyi geçen hafta Beyaz Show'da görmüştüm.
52,NS_1NP_AN1_O_Dem,Bugün partiye Kerim'le birlikte bir gazeteci geldi.,O gazeteciyi geçen hafta Beyaz Show'da görmüştüm.
53,SS_2NP_AN1_S_Def,Bugün partiye Kerim'le birlikte bir yazar ve bir gazeteci geldi.,Gazeteci çok üzgün görünüyordu.
54,SS_2NP_AN1_S_Dem,Bugün partiye Kerim'le birlikte bir yazar ve bir gazeteci geldi.,O gazeteci çok üzgün görünüyordu.
55,NS_2NP_AN1_O_Def,Bugün partiye Kerim'le birlikte bir yazar ve bir gazeteci geldi.,Gazeteciyi geçen hafta Beyaz Show'da görmüştüm.
56,NS_2NP_AN1_O_Dem,Bugün partiye Kerim'le birlikte bir yazar ve bir gazeteci geldi.,O gazeteciyi geçen hafta Beyaz Show'da görmüştüm.
57,SS_1NP_AN2_S_Def,Sınıfa bir oğlan girdi.,Oğlan ön sıralardan birine oturdu.
58,SS_1NP_AN2_S_Dem,Sınıfa bir oğlan girdi.,O oğlan ön sıralardan birine oturdu.
59,NS_1NP_AN2_O_Def,Sınıfa bir oğlan girdi.,Oğlanı daha önce bizim kafede görmüştüm.
60,NS_1NP_AN2_O_Dem,Sınıfa bir oğlan girdi.,O oğlanı daha önce bizim kafede görmüştüm.
61,SS_2NP_AN2_S_Def,Sınıfa bir kız ve bir oğlan girdi.,Oğlan ön sıralardan birine oturdu.
62,SS_2NP_AN2_S_Dem,Sınıfa bir kız ve bir oğlan girdi.,O oğlan ön sıralardan birine oturdu.
63,NS_2NP_AN2_O_Def,Sınıfa bir kız ve bir oğlan girdi.,Oğlanı daha önce bizim kafede görmüştüm.
64,NS_2NP_AN2_O_Dem,Sınıfa bir kız ve bir oğlan girdi.,O oğlanı daha önce bizim kafede görmüştüm.
65,SS_1NP_AN3_S_Def,Sevda şu an parkta bir köpekle oynuyor.,Köpek dışarıya çıktığı için çok mutlu görünüyor.
66,SS_1NP_AN3_S_Dem,Sevda şu an parkta bir köpekle oynuyor.,O köpek dışarıya çıktığı için çok mutlu görünüyor.
67,NS_1NP_AN3_O_Def,Sevda şu an parkta bir köpekle oynuyor.,Sevda'nın sevgilisi köpeği daha dün sahiplenmiş.
68,NS_1NP_AN3_O_Dem,Sevda şu an parkta bir köpekle oynuyor.,Sevda'nın sevgilisi o köpeği daha dün sahiplenmiş.
69,SS_2NP_AN3_S_Def,Sevda şu an parkta bir köpek ve bir kediyle oynuyor.,Köpek dışarıya çıktığı için çok mutlu görünüyor.
70,SS_2NP_AN3_S_Dem,Sevda şu an parkta bir köpek ve bir kediyle oynuyor.,O köpek dışarıya çıktığı için çok mutlu görünüyor.
71,NS_2NP_AN3_O_Def,Sevda şu an parkta bir köpek ve bir kediyle oynuyor.,Sevda'nın sevgilisi  köpeği daha dün sahiplenmiş.
72,NS_2NP_AN3_O_Dem,Sevda şu an parkta bir köpek ve bir kediyle oynuyor.,Sevda'nın sevgilisi o köpeği daha dün sahiplenmiş.
73,SS_1NP_AN4_S_Def,Bugün Hande'nin veda partisine bir profesör geldi.,Profesör çok uzun boyluydu.
74,SS_1NP_AN4_S_Dem,Bugün Hande'nin veda partisine bir profesör geldi.,O profesör çok uzun boyluydu.
75,NS_1NP_AN4_O_Def,Bugün Hande'nin veda partisine bir profesör geldi.,Profesörü geçen hafta bir konferansta görmüştüm.
76,NS_1NP_AN4_O_Dem,Bugün Hande'nin veda partisine bir profesör geldi.,O profesörü geçen hafta bir konferansta görmüştüm.
77,SS_2NP_AN4_S_Def,Bugün Hande'nin veda partisine bir profesör ve bir öğrenci geldi.,Profesör çok uzun boyluydu.
78,SS_2NP_AN4_S_Dem,Bugün Hande'nin veda partisine bir profesör ve bir öğrenci geldi.,O profesör çok uzun boyluydu.
79,NS_2NP_AN4_O_Def,Bugün Hande'nin veda partisine bir profesör ve bir öğrenci geldi.,Profesörü geçen hafta bir konferansta görmüştüm.
80,NS_2NP_AN4_O_Dem,Bugün Hande'nin veda partisine bir profesör ve bir öğrenci geldi.,O profesörü geçen hafta bir konferansta görmüştüm.
81,SS_1NP_AN5_O_Def,Sevgi müzik festivalinde bir şarkıcıyla tanıştı.,Şarkıcıdan hemen imzalı fotoğrafını istedi.
82,SS_1NP_AN5_O_Dem,Sevgi müzik festivalinde bir şarkıcıyla tanıştı.,O şarkıcıdan hemen imzalı fotoğrafını istedi.
83,NS_1NP_AN5_S_Def,Sevgi müzik festivalinde bir şarkıcıyla tanıştı.,Şarkıcı önümüzdeki hafta Taksim'de konser verecek.
84,NS_1NP_AN5_S_Dem,Sevgi müzik festivalinde bir şarkıcıyla tanıştı.,O şarkıcı önümüzdeki hafta Taksim'de konser verecek.
85,SS_2NP_AN5_O_Def,Sevgi müzik festivalinde bir şarkıcı ve bir bataristle tanıştı.,Şarkıcıdan hemen imzalı fotoğrafını istedi.
86,SS_2NP_AN5_O_Dem,Sevgi müzik festivalinde bir şarkıcı ve bir bataristle tanıştı.,O şarkıcıdan hemen imzalı fotoğrafını istedi.
87,NS_2NP_AN5_S_Def,Sevgi müzik festivalinde bir şarkıcı ve bir bataristle tanıştı.,Şarkıcı önümüzdeki hafta Taksim'de konser verecek.
88,NS_2NP_AN5_S_Dem,Sevgi müzik festivalinde bir şarkıcı ve bir bataristle tanıştı.,O şarkıcı önümüzdeki hafta Taksim'de konser verecek.
89,SS_1NP_AN6_S_Def,Aslı geçen ay barınağa gittiğimizde bir köpek sahiplendi.,Köpek çok masum görünüyordu.
90,SS_1NP_AN6_S_Dem,Aslı geçen ay barınağa gittiğimizde bir köpek sahiplendi.,O köpek çok masum görünüyordu.
91,NS_1NP_AN6_O_Def,Aslı geçen ay barınağa gittiğimizde bir köpek sahiplendi.,Aslı'nın kızı şimdi köpeği çok seviyor.
92,NS_1NP_AN6_O_Dem,Aslı geçen ay barınağa gittiğimizde bir köpek sahiplendi.,Aslı'nın kızı şimdi o köpeği çok seviyor.
93,SS_2NP_AN6_S_Def,Aslı geçen ay barınağa gittiğimizde bir kedi ve bir köpek sahiplendi.,Köpek çok masum görünüyordu.
94,SS_2NP_AN6_S_Dem,Aslı geçen ay barınağa gittiğimizde bir kedi ve bir köpek sahiplendi.,O köpek çok masum görünüyordu.
95,NS_2NP_AN6_O_Def,Aslı geçen ay barınağa gittiğimizde bir kedi ve bir köpek sahiplendi.,Aslı'nın kızı şimdi köpeği çok seviyor.
96,NS_2NP_AN6_O_Dem,Aslı geçen ay barınağa gittiğimizde bir kedi ve bir köpek sahiplendi.,Aslı'nın kızı şimdi o köpeği çok seviyor.
