"ID","Situation","Referents","Animacy","Syntactic_Position","Definiteness","Rating"
8,"New_Situation","One","AN6","Subject","The",100
9,"Same_Situation","One","IN1","Subject","That",0
9,"Same_Situation","One","IN1","Subject","The",100
9,"Same_Situation","Two","IN2","Subject","That",0
9,"Same_Situation","Two","IN2","Subject","The",100
9,"New_Situation","One","IN3","Object","That",46
9,"New_Situation","One","IN3","Object","The",100
9,"New_Situation","Two","IN4","Object","That",49
9,"New_Situation","Two","IN4","Object","The",100
9,"Same_Situation","One","IN5","Subject","That",1
9,"Same_Situation","One","IN5","Subject","The",100
9,"Same_Situation","Two","IN6","Subject","The",100
9,"Same_Situation","Two","IN6","Subject","That",0
9,"New_Situation","One","AN1","Subject","The",49
9,"New_Situation","One","AN1","Subject","That",100
9,"New_Situation","Two","AN2","Object","That",0
9,"New_Situation","Two","AN2","Object","The",100
9,"Same_Situation","One","AN3","Subject","The",100
9,"Same_Situation","One","AN3","Subject","That",47
9,"Same_Situation","Two","AN4","Subject","The",100
9,"Same_Situation","Two","AN4","Subject","That",0
9,"New_Situation","One","AN5","Object","The",100
9,"New_Situation","One","AN5","Object","That",0
9,"New_Situation","Two","AN6","Subject","The",50
9,"New_Situation","Two","AN6","Subject","That",0
10,"New_Situation","One","IN1","Object","The",9
10,"New_Situation","One","IN1","Object","That",100
10,"New_Situation","Two","IN2","Object","The",39
10,"New_Situation","Two","IN2","Object","That",100
10,"Same_Situation","One","IN3","Subject","That",15
10,"Same_Situation","One","IN3","Subject","The",100
10,"Same_Situation","Two","IN4","Subject","The",100
10,"Same_Situation","Two","IN4","Subject","That",1
10,"New_Situation","One","IN5","Object","The",12
10,"New_Situation","One","IN5","Object","That",92
10,"New_Situation","Two","IN6","Subject","That",28
10,"New_Situation","Two","IN6","Subject","The",100
10,"Same_Situation","One","AN1","Subject","The",94
10,"Same_Situation","One","AN1","Subject","That",18
10,"Same_Situation","Two","AN2","Subject","The",98
10,"Same_Situation","Two","AN2","Subject","That",14
10,"New_Situation","One","AN3","Object","That",14
10,"New_Situation","One","AN3","Object","The",98
10,"New_Situation","Two","AN4","Subject","That",5
10,"New_Situation","Two","AN4","Subject","The",100
10,"Same_Situation","One","AN5","Subject","That",22
10,"Same_Situation","One","AN5","Subject","The",100
10,"Same_Situation","Two","AN6","Subject","That",15
10,"Same_Situation","Two","AN6","Subject","The",100
12,"New_Situation","Two","IN1","Object","That",65
12,"New_Situation","Two","IN1","Object","The",100
12,"Same_Situation","One","IN2","Subject","The",94
12,"Same_Situation","One","IN2","Subject","That",66
12,"Same_Situation","Two","IN3","Subject","The",100
12,"Same_Situation","Two","IN3","Subject","That",74
12,"New_Situation","One","IN4","Object","That",72
12,"New_Situation","One","IN4","Object","The",100
12,"New_Situation","Two","IN5","Object","The",100
12,"New_Situation","Two","IN5","Object","That",33
12,"Same_Situation","One","IN6","Subject","The",100
12,"Same_Situation","One","IN6","Subject","That",89
12,"Same_Situation","Two","AN1","Subject","That",86
12,"Same_Situation","Two","AN1","Subject","The",100
12,"New_Situation","One","AN2","Object","The",80
12,"New_Situation","One","AN2","Object","That",87
12,"New_Situation","Two","AN3","Object","The",100
12,"New_Situation","Two","AN3","Object","That",71
12,"Same_Situation","One","AN4","Subject","That",82
12,"Same_Situation","One","AN4","Subject","The",82
12,"Same_Situation","Two","AN5","Subject","That",24
12,"Same_Situation","Two","AN5","Subject","The",90
12,"New_Situation","One","AN6","Subject","That",84
12,"New_Situation","One","AN6","Subject","The",100
13,"Same_Situation","Two","IN1","Object","The",94
13,"Same_Situation","Two","IN1","Object","That",78
13,"New_Situation","One","IN2","Object","That",90
13,"New_Situation","One","IN2","Object","The",81
13,"New_Situation","Two","IN3","Object","The",87
13,"New_Situation","Two","IN3","Object","That",92
13,"Same_Situation","One","IN4","Subject","The",93
13,"Same_Situation","One","IN4","Subject","That",79
13,"Same_Situation","Two","IN5","Subject","That",82
13,"Same_Situation","Two","IN5","Subject","The",98
13,"New_Situation","One","IN6","Subject","That",92
13,"New_Situation","One","IN6","Subject","The",100
13,"New_Situation","Two","AN1","Subject","That",94
13,"New_Situation","Two","AN1","Subject","The",81
13,"Same_Situation","One","AN2","Subject","That",89
13,"Same_Situation","One","AN2","Subject","The",100
13,"Same_Situation","Two","AN3","Subject","That",90
13,"Same_Situation","Two","AN3","Subject","The",100
13,"New_Situation","One","AN4","Subject","The",90
13,"New_Situation","One","AN4","Subject","That",100
13,"New_Situation","Two","AN5","Object","The",89
13,"New_Situation","Two","AN5","Object","That",82
13,"Same_Situation","One","AN6","Subject","The",100
13,"Same_Situation","One","AN6","Subject","That",84
14,"Same_Situation","One","IN1","Subject","That",92
14,"Same_Situation","One","IN1","Subject","The",68
14,"Same_Situation","Two","IN2","Subject","That",100
14,"Same_Situation","Two","IN2","Subject","The",33
14,"New_Situation","One","IN3","Object","That",97
14,"New_Situation","One","IN3","Object","The",40
14,"New_Situation","Two","IN4","Object","That",100
14,"New_Situation","Two","IN4","Object","The",79
14,"Same_Situation","One","IN5","Subject","That",95
14,"Same_Situation","One","IN5","Subject","The",26
14,"Same_Situation","Two","IN6","Subject","The",32
14,"Same_Situation","Two","IN6","Subject","That",100
14,"New_Situation","One","AN1","Subject","The",68
14,"New_Situation","One","AN1","Subject","That",94
14,"New_Situation","Two","AN2","Object","That",100
14,"New_Situation","Two","AN2","Object","The",73
14,"Same_Situation","One","AN3","Subject","The",89
14,"Same_Situation","One","AN3","Subject","That",100
14,"Same_Situation","Two","AN4","Subject","The",8
14,"Same_Situation","Two","AN4","Subject","That",100
14,"New_Situation","One","AN5","Object","The",19
14,"New_Situation","One","AN5","Object","That",100
14,"New_Situation","Two","AN6","Subject","The",80
14,"New_Situation","Two","AN6","Subject","That",100
15,"New_Situation","Two","IN1","Object","That",100
15,"New_Situation","Two","IN1","Object","The",100
15,"Same_Situation","One","IN2","Subject","The",100
15,"Same_Situation","One","IN2","Subject","That",36
15,"Same_Situation","Two","IN3","Subject","The",100
15,"Same_Situation","Two","IN3","Subject","That",61
15,"New_Situation","One","IN4","Object","That",100
15,"New_Situation","One","IN4","Object","The",81
15,"New_Situation","Two","IN5","Object","The",100
15,"New_Situation","Two","IN5","Object","That",86
15,"Same_Situation","One","IN6","Subject","The",100
15,"Same_Situation","One","IN6","Subject","That",29
15,"Same_Situation","Two","AN1","Subject","That",18
15,"Same_Situation","Two","AN1","Subject","The",100
15,"New_Situation","One","AN2","Object","The",100
15,"New_Situation","One","AN2","Object","That",11
15,"New_Situation","Two","AN3","Object","The",100
15,"New_Situation","Two","AN3","Object","That",2
15,"Same_Situation","One","AN4","Subject","That",28
15,"Same_Situation","One","AN4","Subject","The",100
15,"Same_Situation","Two","AN5","Subject","That",27
15,"Same_Situation","Two","AN5","Subject","The",100
15,"New_Situation","One","AN6","Subject","That",100
15,"New_Situation","One","AN6","Subject","The",100
16,"Same_Situation","Two","IN1","Object","The",77
16,"Same_Situation","Two","IN1","Object","That",66
16,"New_Situation","One","IN2","Object","That",56
16,"New_Situation","One","IN2","Object","The",53
16,"New_Situation","Two","IN3","Object","The",91
16,"New_Situation","Two","IN3","Object","That",67
16,"Same_Situation","One","IN4","Subject","The",88
16,"Same_Situation","One","IN4","Subject","That",90
16,"Same_Situation","Two","IN5","Subject","That",79
16,"Same_Situation","Two","IN5","Subject","The",57
16,"New_Situation","One","IN6","Subject","That",65
16,"New_Situation","One","IN6","Subject","The",60
16,"New_Situation","Two","AN1","Subject","That",59
16,"New_Situation","Two","AN1","Subject","The",61
16,"Same_Situation","One","AN2","Subject","That",56
16,"Same_Situation","One","AN2","Subject","The",60
16,"Same_Situation","Two","AN3","Subject","That",58
16,"Same_Situation","Two","AN3","Subject","The",62
16,"New_Situation","One","AN4","Subject","The",33
16,"New_Situation","One","AN4","Subject","That",70
16,"New_Situation","Two","AN5","Object","The",57
16,"New_Situation","Two","AN5","Object","That",60
16,"Same_Situation","One","AN6","Subject","The",30
16,"Same_Situation","One","AN6","Subject","That",32
17,"New_Situation","One","IN1","Object","The",100
17,"New_Situation","One","IN1","Object","That",67
17,"New_Situation","Two","IN2","Object","The",7
17,"New_Situation","Two","IN2","Object","That",100
17,"Same_Situation","One","IN3","Subject","That",100
17,"Same_Situation","One","IN3","Subject","The",0
17,"Same_Situation","Two","IN4","Subject","The",100
17,"Same_Situation","Two","IN4","Subject","That",0
17,"New_Situation","One","IN5","Object","The",0
17,"New_Situation","One","IN5","Object","That",100
17,"New_Situation","Two","IN6","Subject","That",31
17,"New_Situation","Two","IN6","Subject","The",73
17,"Same_Situation","One","AN1","Subject","The",100
17,"Same_Situation","One","AN1","Subject","That",70
17,"Same_Situation","Two","AN2","Subject","The",100
17,"Same_Situation","Two","AN2","Subject","That",0
17,"New_Situation","One","AN3","Object","That",100
17,"New_Situation","One","AN3","Object","The",0
17,"New_Situation","Two","AN4","Subject","That",100
17,"New_Situation","Two","AN4","Subject","The",0
17,"Same_Situation","One","AN5","Subject","That",100
17,"Same_Situation","One","AN5","Subject","The",0
17,"Same_Situation","Two","AN6","Subject","That",38
17,"Same_Situation","Two","AN6","Subject","The",67
18,"New_Situation","Two","IN1","Object","That",61
18,"New_Situation","Two","IN1","Object","The",83
18,"Same_Situation","One","IN2","Subject","The",81
18,"Same_Situation","One","IN2","Subject","That",83
18,"Same_Situation","Two","IN3","Subject","The",90
18,"Same_Situation","Two","IN3","Subject","That",90
18,"New_Situation","One","IN4","Object","That",83
18,"New_Situation","One","IN4","Object","The",83
18,"New_Situation","Two","IN5","Object","The",96
18,"New_Situation","Two","IN5","Object","That",67
18,"Same_Situation","One","IN6","Subject","The",93
18,"Same_Situation","One","IN6","Subject","That",93
18,"Same_Situation","Two","AN1","Subject","That",58
18,"Same_Situation","Two","AN1","Subject","The",91
18,"New_Situation","One","AN2","Object","The",82
18,"New_Situation","One","AN2","Object","That",83
18,"New_Situation","Two","AN3","Object","The",87
18,"New_Situation","Two","AN3","Object","That",88
18,"Same_Situation","One","AN4","Subject","That",77
18,"Same_Situation","One","AN4","Subject","The",83
18,"Same_Situation","Two","AN5","Subject","That",57
18,"Same_Situation","Two","AN5","Subject","The",94
18,"New_Situation","One","AN6","Subject","That",95
18,"New_Situation","One","AN6","Subject","The",88
19,"Same_Situation","One","IN1","Subject","That",100
19,"Same_Situation","One","IN1","Subject","The",100
19,"Same_Situation","Two","IN2","Subject","That",100
19,"Same_Situation","Two","IN2","Subject","The",100
19,"New_Situation","One","IN3","Object","That",90
19,"New_Situation","One","IN3","Object","The",90
19,"New_Situation","Two","IN4","Object","That",100
19,"New_Situation","Two","IN4","Object","The",100
19,"Same_Situation","One","IN5","Subject","That",100
19,"Same_Situation","One","IN5","Subject","The",100
19,"Same_Situation","Two","IN6","Subject","The",100
19,"Same_Situation","Two","IN6","Subject","That",100
19,"New_Situation","One","AN1","Subject","The",100
19,"New_Situation","One","AN1","Subject","That",100
19,"New_Situation","Two","AN2","Object","That",100
19,"New_Situation","Two","AN2","Object","The",100
19,"Same_Situation","One","AN3","Subject","The",100
19,"Same_Situation","One","AN3","Subject","That",100
19,"Same_Situation","Two","AN4","Subject","The",100
19,"Same_Situation","Two","AN4","Subject","That",100
19,"New_Situation","One","AN5","Object","The",100
19,"New_Situation","One","AN5","Object","That",100
19,"New_Situation","Two","AN6","Subject","The",100
19,"New_Situation","Two","AN6","Subject","That",100
20,"New_Situation","One","IN1","Object","The",94
20,"New_Situation","One","IN1","Object","That",100
20,"New_Situation","Two","IN2","Object","The",66
20,"New_Situation","Two","IN2","Object","That",90
20,"Same_Situation","One","IN3","Subject","That",100
20,"Same_Situation","One","IN3","Subject","The",100
20,"Same_Situation","Two","IN4","Subject","The",100
20,"Same_Situation","Two","IN4","Subject","That",100
20,"New_Situation","One","IN5","Object","The",100
20,"New_Situation","One","IN5","Object","That",100
20,"New_Situation","Two","IN6","Subject","That",100
20,"New_Situation","Two","IN6","Subject","The",100
20,"Same_Situation","One","AN1","Subject","The",100
20,"Same_Situation","One","AN1","Subject","That",100
20,"Same_Situation","Two","AN2","Subject","The",74
20,"Same_Situation","Two","AN2","Subject","That",92
20,"New_Situation","One","AN3","Object","That",100
20,"New_Situation","One","AN3","Object","The",100
20,"New_Situation","Two","AN4","Subject","That",100
20,"New_Situation","Two","AN4","Subject","The",53
20,"Same_Situation","One","AN5","Subject","That",100
20,"Same_Situation","One","AN5","Subject","The",79
20,"Same_Situation","Two","AN6","Subject","That",100
20,"Same_Situation","Two","AN6","Subject","The",100
21,"Same_Situation","Two","IN1","Object","The",100
21,"Same_Situation","Two","IN1","Object","That",27
21,"New_Situation","One","IN2","Object","That",36
21,"New_Situation","One","IN2","Object","The",100
21,"New_Situation","Two","IN3","Object","The",81
21,"New_Situation","Two","IN3","Object","That",94
21,"Same_Situation","One","IN4","Subject","The",65
21,"Same_Situation","One","IN4","Subject","That",49
21,"Same_Situation","Two","IN5","Subject","That",100
21,"Same_Situation","Two","IN5","Subject","The",100
21,"New_Situation","One","IN6","Subject","That",100
21,"New_Situation","One","IN6","Subject","The",100
21,"New_Situation","Two","AN1","Subject","That",88
21,"New_Situation","Two","AN1","Subject","The",34
21,"Same_Situation","One","AN2","Subject","That",100
21,"Same_Situation","One","AN2","Subject","The",92
21,"Same_Situation","Two","AN3","Subject","That",84
21,"Same_Situation","Two","AN3","Subject","The",43
21,"New_Situation","One","AN4","Subject","The",34
21,"New_Situation","One","AN4","Subject","That",100
21,"New_Situation","Two","AN5","Object","The",100
21,"New_Situation","Two","AN5","Object","That",100
21,"Same_Situation","One","AN6","Subject","The",81
21,"Same_Situation","One","AN6","Subject","That",32
22,"Same_Situation","Two","IN1","Object","The",100
22,"Same_Situation","Two","IN1","Object","That",1
22,"New_Situation","One","IN2","Object","That",100
22,"New_Situation","One","IN2","Object","The",100
22,"New_Situation","Two","IN3","Object","The",100
22,"New_Situation","Two","IN3","Object","That",17
22,"Same_Situation","One","IN4","Subject","The",100
22,"Same_Situation","One","IN4","Subject","That",100
22,"Same_Situation","Two","IN5","Subject","That",0
22,"Same_Situation","Two","IN5","Subject","The",100
22,"New_Situation","One","IN6","Subject","That",100
22,"New_Situation","One","IN6","Subject","The",100
22,"New_Situation","Two","AN1","Subject","That",1
22,"New_Situation","Two","AN1","Subject","The",100
22,"Same_Situation","One","AN2","Subject","That",100
22,"Same_Situation","One","AN2","Subject","The",100
22,"Same_Situation","Two","AN3","Subject","That",0
22,"Same_Situation","Two","AN3","Subject","The",100
22,"New_Situation","One","AN4","Subject","The",100
22,"New_Situation","One","AN4","Subject","That",100
22,"New_Situation","Two","AN5","Object","The",100
22,"New_Situation","Two","AN5","Object","That",0
22,"Same_Situation","One","AN6","Subject","The",100
22,"Same_Situation","One","AN6","Subject","That",100
23,"New_Situation","One","IN1","Object","The",75
23,"New_Situation","One","IN1","Object","That",26
23,"New_Situation","Two","IN2","Object","The",67
23,"New_Situation","Two","IN2","Object","That",43
23,"Same_Situation","One","IN3","Subject","That",39
23,"Same_Situation","One","IN3","Subject","The",71
23,"Same_Situation","Two","IN4","Subject","The",68
23,"Same_Situation","Two","IN4","Subject","That",34
23,"New_Situation","One","IN5","Object","The",77
23,"New_Situation","One","IN5","Object","That",22
23,"New_Situation","Two","IN6","Subject","That",37
23,"New_Situation","Two","IN6","Subject","The",64
23,"Same_Situation","One","AN1","Subject","The",70
23,"Same_Situation","One","AN1","Subject","That",39
23,"Same_Situation","Two","AN2","Subject","The",76
23,"Same_Situation","Two","AN2","Subject","That",33
23,"New_Situation","One","AN3","Object","That",24
23,"New_Situation","One","AN3","Object","The",66
23,"New_Situation","Two","AN4","Subject","That",71
23,"New_Situation","Two","AN4","Subject","The",32
23,"Same_Situation","One","AN5","Subject","That",76
23,"Same_Situation","One","AN5","Subject","The",33
23,"Same_Situation","Two","AN6","Subject","That",18
23,"Same_Situation","Two","AN6","Subject","The",84
24,"Same_Situation","Two","IN1","Object","The",89
24,"Same_Situation","Two","IN1","Object","That",58
24,"New_Situation","One","IN2","Object","That",89
24,"New_Situation","One","IN2","Object","The",73
24,"New_Situation","Two","IN3","Object","The",91
24,"New_Situation","Two","IN3","Object","That",79
24,"Same_Situation","One","IN4","Subject","The",87
24,"Same_Situation","One","IN4","Subject","That",69
24,"Same_Situation","Two","IN5","Subject","That",78
24,"Same_Situation","Two","IN5","Subject","The",63
24,"New_Situation","One","IN6","Subject","That",67
24,"New_Situation","One","IN6","Subject","The",92
24,"New_Situation","Two","AN1","Subject","That",86
24,"New_Situation","Two","AN1","Subject","The",60
24,"Same_Situation","One","AN2","Subject","That",86
24,"Same_Situation","One","AN2","Subject","The",72
24,"Same_Situation","Two","AN3","Subject","That",63
24,"Same_Situation","Two","AN3","Subject","The",89
24,"New_Situation","One","AN4","Subject","The",58
24,"New_Situation","One","AN4","Subject","That",80
24,"New_Situation","Two","AN5","Object","The",60
24,"New_Situation","Two","AN5","Object","That",85
24,"Same_Situation","One","AN6","Subject","The",89
24,"Same_Situation","One","AN6","Subject","That",62
25,"Same_Situation","One","IN1","Subject","That",5
25,"Same_Situation","One","IN1","Subject","The",91
25,"Same_Situation","Two","IN2","Subject","That",5
25,"Same_Situation","Two","IN2","Subject","The",39
25,"New_Situation","One","IN3","Object","That",86
25,"New_Situation","One","IN3","Object","The",85
25,"New_Situation","Two","IN4","Object","That",97
25,"New_Situation","Two","IN4","Object","The",76
25,"Same_Situation","One","IN5","Subject","That",18
25,"Same_Situation","One","IN5","Subject","The",100
25,"Same_Situation","Two","IN6","Subject","The",88
25,"Same_Situation","Two","IN6","Subject","That",16
25,"New_Situation","One","AN1","Subject","The",100
25,"New_Situation","One","AN1","Subject","That",81
25,"New_Situation","Two","AN2","Object","That",87
25,"New_Situation","Two","AN2","Object","The",100
25,"Same_Situation","One","AN3","Subject","The",93
25,"Same_Situation","One","AN3","Subject","That",18
25,"Same_Situation","Two","AN4","Subject","The",100
25,"Same_Situation","Two","AN4","Subject","That",30
25,"New_Situation","One","AN5","Object","The",100
25,"New_Situation","One","AN5","Object","That",92
25,"New_Situation","Two","AN6","Subject","The",100
25,"New_Situation","Two","AN6","Subject","That",40
26,"New_Situation","Two","IN1","Object","That",71
26,"New_Situation","Two","IN1","Object","The",10
26,"Same_Situation","One","IN2","Subject","The",89
26,"Same_Situation","One","IN2","Subject","That",28
26,"Same_Situation","Two","IN3","Subject","The",89
26,"Same_Situation","Two","IN3","Subject","That",5
26,"New_Situation","One","IN4","Object","That",62
26,"New_Situation","One","IN4","Object","The",89
26,"New_Situation","Two","IN5","Object","The",74
26,"New_Situation","Two","IN5","Object","That",7
26,"Same_Situation","One","IN6","Subject","The",91
26,"Same_Situation","One","IN6","Subject","That",16
