Sentence ID,Sentence Codes,Context sentence,Target sentence,Target left context,Left context,Critical,Right context,Situation type,NP,Item,SubjObj,Definiteness
12,NS_1NP_IN2_O_Dem,Ben bought a book.,He lent that book to Linda a few days later.,He lent,Ben bought a book. He lent,that,book to Linda a few days later.,NS,1NP,IN2,O,Dem
13,SS_2NP_IN2_S_Def,Ben bought a book and a magazine.,The book was expensive.,,Ben bought a book and a magazine.,The,book was expensive.,SS,2NP,IN2,S,Def
14,SS_2NP_IN2_S_Dem,Ben bought a book and a magazine.,That book was expensive.,,Ben bought a book and a magazine.,That,book was expensive.,SS,2NP,IN2,S,Dem
15,NS_2NP_IN2_O_Def,Ben bought a book and a magazine.,He lent the book to Linda a few days later.,He lent,Ben bought a book and a magazine. He lent,the,book to Linda a few days later.,NS,2NP,IN2,O,Def
16,NS_2NP_IN2_O_Dem,Ben bought a book and a magazine.,He lent that book to Linda a few days later.,He lent,Ben bought a book and a magazine. He lent,that,book to Linda a few days later.,NS,2NP,IN2,O,Dem
17,SS_1NP_IN3_S_Def,Rob baked a cake.,The cake was quite big.,,Rob baked a cake.,The,cake was quite big.,SS,1NP,IN3,S,Def
18,SS_1NP_IN3_S_Dem,Rob baked a cake.,That cake was quite big.,,Rob baked a cake.,That,cake was quite big.,SS,1NP,IN3,S,Dem
19,NS_1NP_IN3_O_Def,Rob baked a cake.,Rob's sister ate the cake the following day.,Rob's sister ate,Rob baked a cake. Rob's sister ate,the,cake the following day.,NS,1NP,IN3,O,Def
20,NS_1NP_IN3_O_Dem,Rob baked a cake.,Rob's sister ate that cake the following day.,Rob's sister ate,Rob baked a cake. Rob's sister ate,that,cake the following day.,NS,1NP,IN3,O,Dem
21,SS_2NP_IN3_S_Def,Rob baked a pie and a cake.,The cake was quite big.,,Rob baked a pie and a cake.,The,cake was quite big.,SS,2NP,IN3,S,Def
22,SS_2NP_IN3_S_Dem,Rob baked a pie and a cake.,That cake was quite big.,,Rob baked a pie and a cake.,That,cake was quite big.,SS,2NP,IN3,S,Dem
23,NS_2NP_IN3_O_Def,Rob baked a pie and a cake.,Rob's sister ate the cake the following day.,Rob's sister ate,Rob baked a pie and a cake. Rob's sister ate,the,cake the following day.,NS,2NP,IN3,O,Def
24,NS_2NP_IN3_O_Dem,Rob baked a pie and a cake.,Rob's sister ate that cake the following day.,Rob's sister ate,Rob baked a pie and a cake. Rob's sister ate,that,cake the following day.,NS,2NP,IN3,O,Dem
25,SS_1NP_IN4_O_Def,Maya watched a documentary.,She enjoyed the documentary a lot.,She enjoyed,Maya watched a documentary. She enjoyed,the,documentary a lot.,SS,1NP,IN4,S,Def
26,SS_1NP_IN4_O_Dem,Maya watched a documentary.,She enjoyed that documentary a lot.,She enjoyed,Maya watched a documentary. She enjoyed,that,documentary a lot.,SS,1NP,IN4,S,Dem
27,NS_1NP_IN4_S_Def,Maya watched a documentary.,The documentary had been recommended to her by her brother.,,Maya watched a documentary.,The,documentary had been recommended to her by her brother.,NS,1NP,IN4,O,Def
28,NS_1NP_IN4_S_Dem,Maya watched a documentary.,That documentary had been recommended to her by her brother.,,Maya watched a documentary.,That,documentary had been recommended to her by her brother.,NS,1NP,IN4,O,Dem
29,NS_2NP_IN4_S_Def,Maya watched a rom-com and a documentary.,The documentary had been recommended to her by her brother.,,Maya watched a rom-com and a documentary.,The,documentary had been recommended to her by her brother.,SS,2NP,IN4,S,Def
30,NS_2NP_IN4_S_Dem,Maya watched a rom-com and a documentary.,That documentary had been recommended to her by her brother.,,Maya watched a rom-com and a documentary.,That,documentary had been recommended to her by her brother.,SS,2NP,IN4,S,Dem
31,SS_2NP_IN4_O_Def,Maya watched a rom-com and a documentary.,She enjoyed the documentary a lot.,She enjoyed,Maya watched a rom-com and a documentary. She enjoyed,the,documentary a lot.,NS,2NP,IN4,O,Def
32,SS_2NP_IN4_O_Dem,Maya watched a rom-com and a documentary.,She enjoyed that documentary a lot.,She enjoyed,Maya watched a rom-com and a documentary. She enjoyed,that,documentary a lot.,NS,2NP,IN4,O,Dem
33,SS_1NP_IN5_O_Def,Bella received a video-game on her birthday.,She was excited to play the video-game.,She was excited to play,Bella received a video-game on her birthday. She was excited to play,the,video-game.,SS,1NP,IN5,O,Def
34,SS_1NP_IN5_O_Dem,Bella received a video-game on her birthday.,She was excited to play that video-game.,She was excited to play,Bella received a video-game on her birthday. She was excited to play,that,video-game.,SS,1NP,IN5,O,Dem
35,NS_1NP_IN5_O_Def,Bella received a video-game on her birthday.,"Later that weekend, she played the video-game with her sister.","Later that weekend, she played","Bella received a video-game on her birthday. Later that weekend, she played",the,video-game with her sister.,NS,1NP,IN5,O,Def
36,NS_1NP_IN5_O_Dem,Bella received a video-game on her birthday.,"Later that weekend, she played that video-game with her sister.","Later that weekend, she played","Bella received a video-game on her birthday. Later that weekend, she played",that,video-game with her sister.,NS,1NP,IN5,O,Dem
37,SS_2NP_IN5_O_Def,Bella received a watch and a video-game on her birthday.,She was excited to play the video-game.,She was excited to play,Bella received a watch and a video-game on her birthday. She was excited to play,the,video-game.,SS,2NP,IN5,O,Def
38,SS_2NP_IN5_O_Dem,Bella received a watch and a video-game on her birthday.,She was excited to play that video-game.,She was excited to play,Bella received a watch and a video-game on her birthday. She was excited to play,that,video-game.,SS,2NP,IN5,O,Dem
39,NS_2NP_IN5_O_Def,Bella received a watch and a video-game on her birthday.,"Later that weekend, she played the video-game with her sister.","Later that weekend, she played","Bella received a watch and a video-game on her birthday. Later that weekend, she played",the,video-game with her sister.,NS,2NP,IN5,O,Def
40,NS_2NP_IN5_O_Dem,Bella received a watch and a video-game on her birthday.,"Later that weekend, she played that video-game with her sister.","Later that weekend, she played","Bella received a watch and a video-game on her birthday. Later that weekend, she played",that,video-game with her sister.,NS,2NP,IN5,O,Dem
41,SS_1NP_IN6_S_Def,Mindy wrote a poem.,The poem was really long.,,Mindy wrote a poem.,The,poem was really long.,SS,1NP,IN6,S,Def
42,SS_1NP_IN6_S_Dem,Mindy wrote a poem.,That poem was really long.,,Mindy wrote a poem.,That,poem was really long.,SS,1NP,IN6,S,Dem
43,NS_1NP_IN6_O_Def,Mindy wrote a poem.,Her school later published the poem in the annual magazine.,Her school later published,Mindy wrote a poem. Her school later published,the,poem in the annual magazine.,NS,1NP,IN6,S,Def
44,NS_1NP_IN6_O_Dem,Mindy wrote a poem.,Her school later published that poem in the annual magazine.,Her school later published,Mindy wrote a poem. Her school later published,that,poem in the annual magazine.,NS,1NP,IN6,S,Dem
45,SS_2NP_IN6_S_Def,Mindy wrote a short-story and a poem.,The poem was really long.,,Mindy wrote a short-story and a poem.,The,poem was really long.,SS,2NP,IN6,O,Def
46,SS_2NP_IN6_S_Dem,Mindy wrote a short-story and a poem.,That poem was really long.,,Mindy wrote a short-story and a poem.,That,poem was really long.,SS,2NP,IN6,O,Dem
47,NS_2NP_IN6_O_Def,Mindy wrote a short-story and a poem.,Her school later published the poem in the annual magazine.,Her school later published,Mindy wrote a short-story and a poem. Her school later published,the,poem in the annual magazine.,NS,2NP,IN6,O,Def
48,NS_2NP_IN6_O_Dem,Mindy wrote a short-story and a poem.,Her school later published that poem in the annual magazine.,Her school later published,Mindy wrote a short-story and a poem. Her school later published,that,poem in the annual magazine.,NS,2NP,IN6,O,Dem
49,SS_1NP_AN1_S_Def,A journalist is attending today's party.,The journalist looks unfriendly.,,A journalist is attending today's party.,The,journalist looks unfriendly.,SS,1NP,AN1,S,Def
50,SS_1NP_AN1_S_Dem,A journalist is attending today's party.,That journalist looks unfriendly.,,A journalist is attending today's party.,That,journalist looks unfriendly.,SS,1NP,AN1,S,Dem
51,NS_1NP_AN1_S_Def,A journalist is attending today's party.,The journalist was at Matt's talk show last week.,,A journalist is attending today's party.,The,journalist was at Matt's talk show last week.,NS,1NP,AN1,S,Def
52,NS_1NP_AN1_S_Dem,A journalist is attending today's party.,That journalist was at Matt's talk show last week.,,A journalist is attending today's party.,That,journalist was at Matt's talk show last week.,NS,1NP,AN1,S,Dem
53,SS_2NP_AN1_S_Def,An author and a journalist are attending today's party.,The journalist looks unfriendly.,,An author and a journalist are attending today's party.,The,journalist looks unfriendly.,SS,2NP,AN1,S,Def
54,SS_2NP_AN1_S_Dem,An author and a journalist are attending today's party.,That journalist looks unfriendly.,,An author and a journalist are attending today's party.,That,journalist looks unfriendly.,SS,2NP,AN1,S,Dem
55,NS_2NP_AN1_S_Def,An author and a journalist are attending today's party.,The journalist was at Matt's talk show last week.,,An author and a journalist are attending today's party.,The,journalist was at Matt's talk show last week.,NS,2NP,AN1,S,Def
56,NS_2NP_AN1_S_Dem,An author and a journalist are attending today's party.,That journalist was at Matt's talk show last week.,,An author and a journalist are attending today's party.,That,journalist was at Matt's talk show last week.,NS,2NP,AN1,S,Dem
57,SS_1NP_AN2_S_Def,A boy entered the classroom.,The boy sat down in the front row.,,A boy entered the classroom.,The,boy sat down in the front row.,SS,1NP,AN2,S,Def
58,SS_1NP_AN2_S_Dem,A boy entered the classroom.,That boy sat down in the front row.,,A boy entered the classroom.,That,boy sat down in the front row.,SS,1NP,AN2,S,Dem
59,NS_1NP_AN2_O_Def,A boy entered the classroom.,I had noticed the boy at a coffee shop yesterday.,I had noticed,A boy entered the classroom. I had noticed,the,boy at a coffee shop yesterday.,NS,1NP,AN2,O,Def
60,NS_1NP_AN2_O_Dem,A boy entered the classroom.,I had noticed that boy at a coffee shop yesterday.,I had noticed,A boy entered the classroom. I had noticed,that,boy at a coffee shop yesterday.,NS,1NP,AN2,O,Dem
61,SS_2NP_AN2_S_Def,A boy and a girl entered the classroom.,The boy sat down in the front row.,,A boy and a girl entered the classroom.,The,boy sat down in the front row.,SS,2NP,AN2,S,Def
62,SS_2NP_AN2_S_Dem,A boy and a girl entered the classroom.,That boy sat down in the front row.,,A boy and a girl entered the classroom.,That,boy sat down in the front row.,SS,2NP,AN2,S,Dem
63,NS_2NP_AN2_O_Def,A boy and a girl entered the classroom.,I had noticed the boy at a coffee shop yesterday.,I had noticed,A boy and a girl entered the classroom. I had noticed,the,boy at a coffee shop yesterday.,NS,2NP,AN2,O,Def
64,NS_2NP_AN2_O_Dem,A boy and a girl entered the classroom.,I had noticed that boy at a coffee shop yesterday.,I had noticed,A boy and a girl entered the classroom. I had noticed,that,boy at a coffee shop yesterday.,NS,2NP,AN2,O,Dem
65,SS_1NP_AN3_S_Def,A dog is playing with Sarah in the park.,The dog seems very excited to be outdoors.,,A dog is playing with Sarah in the park.,The,dog seems very excited to be outdoors.,SS,1NP,AN3,S,Def
66,SS_1NP_AN3_S_Dem,A dog is playing with Sarah in the park.,That dog seems very excited to be outdoors.,,A dog is playing with Sarah in the park.,That,dog seems very excited to be outdoors.,SS,1NP,AN3,S,Dem
67,NS_1NP_AN3_O_Def,A dog is playing with Sarah in the park.,Sarah's friend had just adopted the dog yesterday.,Sarah's friend had just adopted,A dog is playing with Sarah in the park. Sarah's friend had just adopted,the,dog yesterday.,NS,1NP,AN3,O,Def
68,NS_1NP_AN3_O_Dem,A dog is playing with Sarah in the park.,Sarah's friend had just adopted that dog yesterday.,Sarah's friend had just adopted,A dog is playing with Sarah in the park. Sarah's friend had just adopted,that,dog yesterday.,NS,1NP,AN3,O,Dem
69,SS_2NP_AN3_S_Def,A dog and a cat are playing with Sarah in the park.,The dog seems very excited to be outdoors.,,A dog and a cat are playing with Sarah in the park.,The,dog seems very excited to be outdoors.,SS,2NP,AN3,S,Def
70,SS_2NP_AN3_S_Dem,A dog and a cat are playing with Sarah in the park.,That dog seems very excited to be outdoors.,,A dog and a cat are playing with Sarah in the park.,That,dog seems very excited to be outdoors.,SS,2NP,AN3,S,Dem
71,NS_2NP_AN3_O_Def,A dog and a cat are playing with Sarah in the park.,Sarah's friend had just adopted the dog yesterday.,Sarah's friend had just adopted,A dog and a cat are playing with Sarah in the park. Sarah's friend had just adopted,the,dog yesterday.,NS,2NP,AN3,O,Def
72,NS_2NP_AN3_O_Dem,A dog and a cat are playing with Sarah in the park.,Sarah's friend had just adopted that dog yesterday.,Sarah's friend had just adopted,A dog and a cat are playing with Sarah in the park. Sarah's friend had just adopted,that,dog yesterday.,NS,2NP,AN3,O,Dem
73,SS_1NP_AN4_S_Def,A professor came to Jenny's farewell party today.,The professor was very tall.,,A professor came to Jenny's farewell party today.,The,professor was very tall.,SS,1NP,AN4,S,Def
74,SS_1NP_AN4_S_Dem,A professor came to Jenny's farewell party today.,That professor was very tall.,,A professor came to Jenny's farewell party today.,That,professor was very tall.,SS,1NP,AN4,S,Dem
75,NS_1NP_AN4_O_Def,A professor came to Jenny's farewell party today.,I had seen the professor earlier at a seminar last week.,I had seen,A professor came to Jenny's farewell party today. I had seen,the,professor earlier at a seminar last week.,NS,1NP,AN4,O,Def
76,NS_1NP_AN4_O_Dem,A professor came to Jenny's farewell party today.,I had seen that professor earlier at a seminar last week.,I had seen,A professor came to Jenny's farewell party today. I had seen,that,professor earlier at a seminar last week.,NS,1NP,AN4,O,Dem
77,SS_2NP_AN4_S_Def,A professor and a student came to Jenny's farewell party today.,The professor was very tall.,,A professor and a student came to Jenny's farewell party today.,The,professor was very tall.,SS,2NP,AN4,S,Def
78,SS_2NP_AN4_S_Dem,A professor and a student came to Jenny's farewell party today.,That professor was very tall.,,A professor and a student came to Jenny's farewell party today.,That,professor was very tall.,SS,2NP,AN4,S,Dem
79,NS_2NP_AN4_O_Def,A professor and a student came to Jenny's farewell party today.,I had seen the professor earlier at a seminar last week.,I had seen,A professor and a student came to Jenny's farewell party today. I had seen,the,professor earlier at a seminar last week.,NS,2NP,AN4,O,Def
80,NS_2NP_AN4_O_Dem,A professor and a student came to Jenny's farewell party today.,I had seen that professor earlier at a seminar last week.,I had seen,A professor and a student came to Jenny's farewell party today. I had seen,that,professor earlier at a seminar last week.,NS,2NP,AN4,O,Dem
81,NS_1NP_AN5_S_Def,Bill met a singer at the music festival.,The singer will perform at Bill's friend's club next week.,,Bill met a singer at the music festival.,The,singer will perform at Bill's friend's club next week.,SS,1NP,AN5,S,Def
82,NS_1NP_AN5_S_Dem,Bill met a singer at the music festival.,That singer will perform at Bill's friend's club next week.,,Bill met a singer at the music festival.,That,singer will perform at Bill's friend's club next week.,SS,1NP,AN5,S,Dem
83,SS_1NP_AN5_O_Def,Bill met a singer at the music festival.,He asked the singer for an autograph.,He asked,Bill met a singer at the music festival. He asked,the,singer for an autograph.,NS,1NP,AN5,O,Def
84,SS_1NP_AN5_O_Dem,Bill met a singer at the music festival.,He asked that singer for an autograph.,He asked,Bill met a singer at the music festival. He asked,that,singer for an autograph.,NS,1NP,AN5,O,Dem
85,NS_2NP_AN5_S_Def,Bill met a singer and a drummer at the music festival.,The singer will perform at Bill's friend's club next week.,,Bill met a singer and a drummer at the music festival.,The,singer will perform at Bill's friend's club next week.,SS,2NP,AN5,S,Def
86,NS_2NP_AN5_S_Dem,Bill met a singer and a drummer at the music festival.,That singer will perform at Bill's friend's club next week.,,Bill met a singer and a drummer at the music festival.,That,singer will perform at Bill's friend's club next week.,SS,2NP,AN5,S,Dem
87,SS_2NP_AN5_O_Def,Bill met a singer and a drummer at the music festival.,He asked the singer for an autograph.,He asked,Bill met a singer and a drummer at the music festival. He asked,the,singer for an autograph.,NS,2NP,AN5,O,Def
88,SS_2NP_AN5_O_Dem,Bill met a singer and a drummer at the music festival.,He asked that singer for an autograph.,He asked,Bill met a singer and a drummer at the music festival. He asked,that,singer for an autograph.,NS,2NP,AN5,O,Dem
89,SS_1NP_AN6_S_Def,Ron adopted a guinea pig from the shelter last month.,The guinea pig was very cute.,,Ron adopted a guinea pig from the shelter last month.,The,guinea pig was very cute.,SS,1NP,AN6,S,Def
90,SS_1NP_AN6_S_Dem,Ron adopted a guinea pig from the shelter last month.,That guinea pig was very cute.,,Ron adopted a guinea pig from the shelter last month.,That,guinea pig was very cute.,SS,1NP,AN6,S,Dem
91,NS_1NP_AN6_O_Def,Ron adopted a guinea pig from the shelter last month.,Ron's daughter has grown to adore the guinea pig.,Ron's daughter has grown to adore,Ron adopted a guinea pig from the shelter last month. Ron's daughter has grown to adore,the,guinea pig.,NS,1NP,AN6,O,Def
92,NS_1NP_AN6_O_Dem,Ron adopted a guinea pig from the shelter last month.,Ron's daughter has grown to adore that guinea pig.,Ron's daughter has grown to adore,Ron adopted a guinea pig from the shelter last month. Ron's daughter has grown to adore,that,guinea pig.,NS,1NP,AN6,O,Dem
93,SS_2NP_AN6_S_Def,Ron adopted a hamster and guinea pig from the shelter last month.,The guinea pig was very cute.,,Ron adopted a hamster and guinea pig from the shelter last month.,The,guinea pig was very cute.,SS,2NP,AN6,S,Def
94,SS_2NP_AN6_S_Dem,Ron adopted a hamster and guinea pig from the shelter last month.,That guinea pig was very cute.,,Ron adopted a hamster and guinea pig from the shelter last month.,That,guinea pig was very cute.,SS,2NP,AN6,S,Dem
95,NS_2NP_AN6_O_Def,Ron adopted a hamster and guinea pig from the shelter last month.,Ron's daughter has grown to adore the guinea pig.,Ron's daughter has grown to adore,Ron adopted a hamster and guinea pig from the shelter last month. Ron's daughter has grown to adore,the,guinea pig.,NS,2NP,AN6,O,Def
96,NS_2NP_AN6_O_Dem,Ron adopted a hamster and guinea pig from the shelter last month.,Ron's daughter has grown to adore that guinea pig.,Ron's daughter has grown to adore,Ron adopted a hamster and guinea pig from the shelter last month. Ron's daughter has grown to adore,that,guinea pig.,NS,2NP,AN6,O,Dem
